Date,Stock_Rolling_Vol_Pct,Bond_Rolling_Vol_Pct,Strategy_Rolling_Vol_Pct,Stock_Rolling_Return_Pct,Bond_Rolling_Return_Pct,Strategy_Rolling_Return_Pct,Stock_Sharpe_Unadj,Bond_Sharpe_Unadj,Strategy_Sharpe_Unadj,Stock_Sharpe_TreasuryAdj,Bond_Sharpe_TreasuryAdj,Strategy_Sharpe_TreasuryAdj
2011-09-08,,,,,,,,,,,,
2011-09-09,,,,,,,,,,,,
2011-09-12,,,,,,,,,,,,
2011-09-13,,,,,,,,,,,,
2011-09-14,,,,,,,,,,,,
2011-09-15,,,,,,,,,,,,
2011-09-16,,,,,,,,,,,,
2011-09-19,,,,,,,,,,,,
2011-09-20,,,,,,,,,,,,
2011-09-21,,,,,,,,,,,,
2011-09-22,,,,,,,,,,,,
2011-09-23,,,,,,,,,,,,
2011-09-26,,,,,,,,,,,,
2011-09-27,,,,,,,,,,,,
2011-09-28,,,,,,,,,,,,
2011-09-29,,,,,,,,,,,,
2011-09-30,,,,,,,,,,,,
2011-10-03,,,,,,,,,,,,
2011-10-04,,,,,,,,,,,,
2011-10-05,,,,,,,,,,,,
2011-10-06,,,,,,,,,,,,
2011-10-07,,,,,,,,,,,,
2011-10-10,,,,,,,,,,,,
2011-10-11,,,,,,,,,,,,
2011-10-12,,,,,,,,,,,,
2011-10-13,,,,,,,,,,,,
2011-10-14,,,,,,,,,,,,
2011-10-17,,,,,,,,,,,,
2011-10-18,,,,,,,,,,,,
2011-10-19,,,,,,,,,,,,
2011-10-20,,,,,,,,,,,,
2011-10-21,,,,,,,,,,,,
2011-10-24,,,,,,,,,,,,
2011-10-25,,,,,,,,,,,,
2011-10-26,,,,,,,,,,,,
2011-10-27,,,,,,,,,,,,
2011-10-28,,,,,,,,,,,,
2011-10-31,,,,,,,,,,,,
2011-11-01,,,,,,,,,,,,
2011-11-02,,,,,,,,,,,,
2011-11-03,,,,,,,,,,,,
2011-11-04,,,,,,,,,,,,
2011-11-07,,,,,,,,,,,,
2011-11-08,,,,,,,,,,,,
